Node_Type,Node_Name,real_rank_by_type,null_median,null_best,p_top
Anatomy,diagonal band of Broca,1.0,8538.5,138.0,0.0909090909090909
Anatomy,lateral tubercle of talus,2.0,7555.0,650.0,0.0909090909090909
Anatomy,pes,3.0,7554.5,649.0,0.0909090909090909
Anatomy,longitudinal arch of pes,4.0,7273.0,964.0,0.0909090909090909
Anatomy,stria terminalis,5.0,9801.5,279.0,0.0909090909090909
Anatomy,subdivision of diagonal band,6.0,8133.5,149.0,0.0909090909090909
Anatomy,horizontal limb of the diagonal band,7.0,8135.5,148.0,0.0909090909090909
Anatomy,vertical limb of the diagonal band,8.0,8135.5,147.0,0.0909090909090909
Anatomy,keratin-coated spine,9.0,7733.5,92.0,0.0909090909090909
Anatomy,barbed keratin-coated spine,10.0,7733.0,94.0,0.0909090909090909
Anatomy,unbarbed keratin-coated spine,11.0,7733.0,93.0,0.0909090909090909
Anatomy,hair of head,12.0,6972.0,79.0,0.0909090909090909
Anatomy,anterior column of fornix,13.0,8703.5,392.0,0.0909090909090909
Anatomy,hippocampal commissure,14.0,8905.5,196.0,0.0909090909090909
Anatomy,centrum semiovale,15.0,8906.5,197.0,0.0909090909090909
Anatomy,external capsule of telencephalon,16.0,8905.5,198.0,0.0909090909090909
Anatomy,lamina terminalis of cerebral hemisphere,17.0,8904.0,194.0,0.0909090909090909
Anatomy,ventral amygdalofugal projection,18.0,8906.0,195.0,0.0909090909090909
Anatomy,cerebral hemisphere white matter,19.0,8900.0,199.0,0.0909090909090909
Anatomy,pes hair,20.0,6589.5,1268.0,0.0909090909090909
Anatomy,nuclear complex of neuraxis,21.0,7650.5,555.0,0.0909090909090909
Anatomy,forceps major of corpus callosum,23.0,8873.5,204.0,0.0909090909090909
Anatomy,feathered facial disc,24.0,7298.5,2266.0,0.0909090909090909
Anatomy,pes cartilage element,25.0,7112.5,1348.0,0.0909090909090909
Anatomy,tapetum of corpus callosum,26.0,8814.0,223.0,0.0909090909090909
BiologicalProcess,interneuron migration from the subpallium to the cortex,1.0,7484.0,3130.0,0.0909090909090909
BiologicalProcess,substrate-independent telencephalic tangential interneuron migration,2.0,7865.0,2587.0,0.0909090909090909
BiologicalProcess,substrate-independent telencephalic tangential migration,3.0,7865.0,2588.0,0.0909090909090909
BiologicalProcess,cerebral cortex GABAergic interneuron development,4.0,7878.5,1497.0,0.0909090909090909
BiologicalProcess,cerebral cortex GABAergic interneuron differentiation,5.0,7751.5,2636.0,0.0909090909090909
BiologicalProcess,regulation of neuron migration,6.0,8653.0,1149.0,0.0909090909090909
BiologicalProcess,motor learning,7.0,9081.5,131.0,0.0909090909090909
BiologicalProcess,interneuron migration,8.0,7150.0,2022.0,0.0909090909090909
BiologicalProcess,cerebral cortex GABAergic interneuron migration,9.0,7150.0,2021.0,0.0909090909090909
BiologicalProcess,GABAergic neuron differentiation,10.0,8171.5,1908.0,0.0909090909090909
BiologicalProcess,negative regulation of actin filament bundle assembly,11.0,8545.5,385.0,0.0909090909090909
BiologicalProcess,olfactory behavior,12.0,7079.0,2209.0,0.0909090909090909
BiologicalProcess,locomotion involved in locomotory behavior,13.0,6416.0,3941.0,0.0909090909090909
BiologicalProcess,regulation of postsynaptic cytosolic calcium ion concentration,14.0,7677.0,425.0,0.0909090909090909
BiologicalProcess,vocalization behavior,15.0,8325.5,333.0,0.0909090909090909
BiologicalProcess,dendrite self-avoidance,16.0,6922.5,2189.0,0.0909090909090909
BiologicalProcess,chemoattraction of axon,17.0,8646.5,647.0,0.0909090909090909
BiologicalProcess,regulation of protein kinase C signaling,18.0,7036.5,2758.0,0.0909090909090909
BiologicalProcess,orbitofrontal cortex development,19.0,8670.5,430.0,0.0909090909090909
BiologicalProcess,ruffle organization,20.0,7021.0,470.0,0.0909090909090909
BiologicalProcess,short-term memory,21.0,5823.0,987.0,0.0909090909090909
BiologicalProcess,apoptotic process involved in luteolysis,22.0,7837.5,2135.0,0.0909090909090909
BiologicalProcess,negative regulation of stress fiber assembly,23.0,8056.0,726.0,0.0909090909090909
BiologicalProcess,response to pain,24.0,8046.5,592.0,0.0909090909090909
BiologicalProcess,lateral line system development,25.0,8888.0,87.0,0.0909090909090909
CellularComponent,basal dendrite,1.0,820.0,187.0,0.0909090909090909
CellularComponent,axon hillock,2.0,982.0,432.0,0.0909090909090909
CellularComponent,dendritic branch,3.0,1016.0,85.0,0.0909090909090909
CellularComponent,perineuronal net,4.0,1018.5,32.0,0.0909090909090909
CellularComponent,paranodal junction,5.0,981.0,157.0,0.0909090909090909
CellularComponent,photoreceptor outer segment membrane,6.0,680.0,461.0,0.0909090909090909
CellularComponent,filopodium tip,7.0,903.5,171.0,0.0909090909090909
CellularComponent,symmetric synapse,8.0,947.5,153.0,0.0909090909090909
CellularComponent,cell tip,9.0,773.0,11.0,0.0909090909090909
CellularComponent,CA3 pyramidal cell dendrite,10.0,1034.5,27.0,0.0909090909090909
CellularComponent,prominosome,11.0,1120.5,13.0,0.0909090909090909
CellularComponent,dendritic spine head,15.0,1051.0,155.0,0.0909090909090909
CellularComponent,protein kinase 5 complex,17.0,967.0,128.0,0.0909090909090909
CellularComponent,apical plasma membrane urothelial plaque,19.0,977.5,246.0,0.0909090909090909
CellularComponent,intercellular canaliculus,20.0,953.0,25.0,0.0909090909090909
CellularComponent,growing cell tip,22.0,778.0,52.0,0.0909090909090909
CellularComponent,zymogen granule membrane,23.0,853.5,296.0,0.0909090909090909
CellularComponent,primary dendrite,24.0,1038.5,167.0,0.0909090909090909
CellularComponent,integrin alpha10-beta1 complex,25.0,1187.0,134.0,0.0909090909090909
CellularComponent,insulin-responsive compartment,26.0,1124.5,184.0,0.0909090909090909
CellularComponent,spine apparatus,27.0,977.5,95.0,0.0909090909090909
CellularComponent,NMDA selective glutamate receptor complex,28.0,1025.0,62.0,0.0909090909090909
CellularComponent,climbing fiber,29.0,962.5,50.0,0.0909090909090909
CellularComponent,inhibitory synapse,30.0,941.0,429.0,0.0909090909090909
CellularComponent,axonal spine,31.0,1084.0,74.0,0.0909090909090909
Compound,CHEMBL2109265,1.0,134766.0,3.0,0.0909090909090909
Compound,CHEMBL3289014,2.0,161754.0,1460.0,0.0909090909090909
Compound,CHEMBL519741,3.0,161754.5,1461.0,0.0909090909090909
Compound,CHEMBL3289013,4.0,161755.0,1459.0,0.0909090909090909
Compound,CHEMBL3289011,5.0,161755.5,1457.0,0.0909090909090909
Compound,CHEMBL3289012,6.0,161753.5,1458.0,0.0909090909090909
Compound,CHEMBL2001019,7.0,191605.5,148.0,0.0909090909090909
Compound,CHEMBL2323775,8.0,211570.5,103.0,0.0909090909090909
Compound,CHEMBL180822,9.0,158852.5,2378.0,0.0909090909090909
Compound,CHEMBL58247,10.0,163512.0,20179.0,0.0909090909090909
Compound,CHEMBL59830,11.0,163510.5,20182.0,0.0909090909090909
Compound,CHEMBL300330,12.0,163512.0,20180.0,0.0909090909090909
Compound,CHEMBL1201199,13.0,159484.0,11392.0,0.0909090909090909
Compound,CHEMBL579062,14.0,168613.5,10412.0,0.0909090909090909
Compound,CHEMBL566581,15.0,165143.0,14333.0,0.0909090909090909
Compound,CHEMBL1682821,16.0,165144.0,14334.0,0.0909090909090909
Compound,CHEMBL3128043,17.0,209224.5,88.0,0.0909090909090909
